CD4533FFC0E1,D2B6503554D7,D7EE034361F8,DD697EA75B68,DF231643E227,E43355CA8B96,E6D9D20DD197,E8FD0B453DC4,F1307ECB3B90,F1EDAF28E08A,F69A86823B96,F8EE8B0847A4,FDAE5980F28C,EC72840D9AD3,E96AF2C858BA,E13B805C6CB0,FB2EE01C18CE
-83.8529411764706,-87,-66.0344827586207,-86.7916666666667,-89.0416666666667,-76.2173913043478,-96.3333333333333,-85.9090909090909,-69.3421052631579,-84.575,-79.0285714285714,-84.7352941176471,-83.6666666666667,NaN,NaN,NaN,NaN
-84.8,-87.6,-66.1363636363636,-85.8125,-88.4117647058823,-76.7209302325581,-95,-88.4166666666667,-69.1176470588235,-84.9782608695652,-78.3548387096774,-81.4074074074074,-82.7142857142857,-77.5909090909091,NaN,NaN,NaN
-84,-87.4545454545455,-66.53125,-86.1428571428571,-90,-76.7666666666667,-95,-86.3333333333333,-69.2916666666667,-85.0810810810811,-78,-83.0333333333333,-84.3888888888889,-80.92,NaN,NaN,NaN
-87.45,-89.4285714285714,-65.8181818181818,-85.7692307692308,-89.3333333333333,-76.3888888888889,-96,-88.3846153846154,-69.85,-84.52,-77.15,-82.3125,-82.4210526315789,-76.0909090909091,NaN,NaN,NaN
-84.7575757575758,-88.3333333333333,-65.6363636363636,-86.2142857142857,-89.4444444444444,-76.8181818181818,NaN,-87.6666666666667,-68.551724137931,-86.3061224489796,-78.3888888888889,-85.7647058823529,-82.6190476190476,-79.8666666666667,-98,NaN,NaN
-84.3214285714286,-87.4444444444444,-65.8863636363636,-85.3125,-89.4285714285714,-76.3225806451613,-96,-86.4,-68.4827586206897,-85.5609756097561,-78.52,-85.1379310344828,-82.7142857142857,-77.1363636363636,NaN,-93,NaN
-85.4166666666667,-87.5714285714286,-66.2962962962963,-82.2,-90,-75.2,NaN,-84.25,-68.5294117647059,-85.75,-77.2307692307692,-80.8571428571429,-82.375,-75.9166666666667,NaN,-94,NaN
-84.9090909090909,-89.5,-65.6363636363636,-89,-89.375,-75.1111111111111,-97,-84.5,-68.4545454545455,-84.3888888888889,-76,-79.65,-83.4117647058823,-77.5882352941177,NaN,-94.8,NaN
-84.7407407407407,-88.6,-65.9047619047619,-86.3333333333333,-89.05,-76.125,-95,-84.6,-68.6875,-86.3513513513514,-77.6875,-83.7083333333333,-82.6470588235294,-78.36,NaN,-94.875,NaN
-84.2857142857143,-88.75,-66.2962962962963,-87.3333333333333,-88.4285714285714,-75.4,NaN,-84,-69.1818181818182,-85.8378378378378,-77.1666666666667,-81.7741935483871,-85.8333333333333,-78.5588235294118,NaN,-94.8888888888889,NaN
-84.3333333333333,-89.2307692307692,-65.7714285714286,-87.7,-89.3333333333333,-76.8846153846154,-98,-83,-68.78125,-84.5,-78.4444444444444,-80.7777777777778,-81.5,-79,NaN,-95.3333333333333,NaN
-83.8260869565217,-88.0909090909091,-65.8,-87.0833333333333,-89.3636363636364,-75,NaN,-90,-68.8148148148148,-85.5,-77.1538461538462,-82.9,-83.1176470588235,-75.3,NaN,-95.25,NaN
-85.1333333333333,-87.5,-66.0384615384615,-89.6363636363636,-89,-75.9333333333333,NaN,-84,-68.875,-84.9259259259259,-77.9230769230769,-81,-82.1578947368421,-79.0769230769231,NaN,-95,NaN
-84.7666666666667,-86.0833333333333,-66.4,-85.6428571428571,-88.8181818181818,-76.3214285714286,NaN,-84,-68.9583333333333,-85.3181818181818,-77.5238095238095,-81.9285714285714,-82.1428571428571,-79,NaN,-93.3333333333333,NaN
-84.5,-86,-66.2173913043478,-86.4666666666667,-88.6,-76.6153846153846,NaN,-84.6666666666667,-68.4054054054054,-85.5,-81.1875,-82.3333333333333,-81.9230769230769,-79.1875,NaN,-94.2,NaN
-85.8181818181818,-85.2666666666667,-65.5142857142857,-87.8,-88.4,-76.125,-97,-84,-68.15625,-86.0344827586207,-76.3888888888889,-81.9411764705882,-84.2857142857143,-76.7777777777778,NaN,-94.6666666666667,NaN
-85.75,-86,-65.7142857142857,-85.25,-88.5714285714286,-75,NaN,-84.5,-68.7,-87.1904761904762,-78.7272727272727,-80.9090909090909,-83.75,-79.6666666666667,NaN,NaN,NaN
-84.5862068965517,-85.8181818181818,-66.5483870967742,-89.875,-88.5,-76.9411764705882,NaN,-84.7142857142857,-69.1724137931034,-84.0967741935484,-79.5,-80.64,-83.3913043478261,-74.6086956521739,NaN,-93.6,NaN
-85.4615384615385,-84.5,-65.96,-86.5384615384615,-89.2857142857143,-74.9615384615385,NaN,-84.1428571428571,-68.0526315789474,-85.9655172413793,-79.9285714285714,-83.875,-82.5294117647059,-80,NaN,-92.25,NaN
-84.9230769230769,-86.1904761904762,-65.8837209302326,-87.9285714285714,-89.1052631578947,-75.7894736842105,-97,-85.3333333333333,-68.8888888888889,-84.448275862069,-78.4193548387097,-80.0769230769231,-83.9130434782609,-79.1764705882353,NaN,-94.8,NaN
-85.0967741935484,-87.5454545454545,-66.03125,-87.3076923076923,-89,-76.2592592592593,NaN,-84,-69.2424242424242,-84.8695652173913,-78.2727272727273,-79.8571428571429,-83.2777777777778,-79.304347826087,NaN,-93,NaN
-84.5,-86.4285714285714,-66.55,-83,-88.0769230769231,-77.0769230769231,NaN,-86.3636363636364,-68.9259259259259,-83.3214285714286,-77.741935483871,-81.6818181818182,-83.7307692307692,-77.0555555555556,NaN,-94,NaN
-85.0227272727273,-86.2380952380952,-66.38,-82.7,-88.4375,-76.1086956521739,NaN,-86.3846153846154,-68.6086956521739,-84.1944444444444,-78.6060606060606,-81.7,-83.3846153846154,-80.8055555555556,NaN,-93.375,NaN
-84.2424242424242,-87.8181818181818,-65.825,-84,-88.3333333333333,-75.7727272727273,NaN,-88.2,-68.3333333333333,-84.6153846153846,-78.72,-81.3333333333333,-82.85,-77.375,NaN,-94,NaN
-85.5294117647059,-87.3333333333333,-65.9333333333333,-86,-88.6875,-75.3428571428571,NaN,-84.5,-68.7666666666667,-84.875,-77.9655172413793,-80.825,-81.1481481481482,-79.4545454545455,NaN,-93.5,NaN
-86.1538461538462,-85,-65.84,-89.3333333333333,-88.4285714285714,-77.2352941176471,NaN,-88.4,-68.1428571428571,-84,-79.5,-81.8181818181818,-83.5454545454545,-80.1818181818182,NaN,-94.5,NaN
-85.9310344827586,-87.3888888888889,-66.2727272727273,-87.125,-91,-76.4230769230769,NaN,-92.3333333333333,-69.2105263157895,-84.9354838709677,-78.1,-83.1818181818182,-83.6538461538462,-76.0833333333333,NaN,-93.875,NaN
-85.0344827586207,-88.7272727272727,-65.9032258064516,-86.2727272727273,-91.6666666666667,-76.2857142857143,NaN,-87.4545454545455,-68.9333333333333,-84.0294117647059,-79.7391304347826,-80.0833333333333,-83.4,-77.4,NaN,-93.75,NaN
-84.9166666666667,-86.6,-65.9090909090909,-89.1428571428571,-90,-75.2631578947368,-96,-83.3333333333333,-68.7692307692308,-83.5925925925926,-79.45,-79,-84.8571428571429,-79.5,NaN,-93.1666666666667,NaN
-85.0869565217391,-87.8333333333333,-66.6341463414634,-85.6666666666667,-89.75,-75.75,NaN,-84.2222222222222,-68.7058823529412,-85.0454545454545,-80.3333333333333,-81.1666666666667,-84.4444444444444,-77.4285714285714,NaN,-92.4,NaN
-85.3,-88,-65.8965517241379,-83.4,-90.8,-75.25,NaN,-88.5,-68.75,-84.3636363636364,-79,-83,-83.5789473684211,-78.3157894736842,NaN,-92.2,NaN
-85.6216216216216,-88.75,-65.8666666666667,-88.4166666666667,-90.1875,-76.6170212765958,NaN,-87.3333333333333,-68.7222222222222,-84.2121212121212,-78.8076923076923,-80.5806451612903,-85.6666666666667,-77.6388888888889,NaN,-93,NaN
